,time,day
0,2013-01-01,New Year's Day
1,2013-01-21,Martin Luther King Jr. Day
2,2013-02-18,Washington's Birthday
3,2013-05-27,Memorial Day
4,2013-07-04,Independence Day
5,2013-09-02,Labor Day
6,2013-10-14,Columbus Day
7,2013-11-11,Veterans Day
8,2013-11-28,Thanksgiving
9,2013-12-25,Christmas Day
10,2014-01-01,New Year's Day
11,2014-01-20,Martin Luther King Jr. Day
12,2014-02-17,Washington's Birthday
13,2014-05-26,Memorial Day
14,2014-07-04,Independence Day
15,2014-09-01,Labor Day
16,2014-10-13,Columbus Day
17,2014-11-11,Veterans Day
18,2014-11-27,Thanksgiving
19,2014-12-25,Christmas Day
20,2015-01-01,New Year's Day
21,2015-01-19,Martin Luther King Jr. Day
22,2015-02-16,Washington's Birthday
23,2015-05-25,Memorial Day
24,2015-07-03,Independence Day (Observed)
25,2015-07-04,Independence Day
26,2015-09-07,Labor Day
27,2015-10-12,Columbus Day
28,2015-11-11,Veterans Day
29,2015-11-26,Thanksgiving
30,2015-12-25,Christmas Day
31,2016-01-01,New Year's Day
32,2016-01-18,Martin Luther King Jr. Day
33,2016-02-15,Washington's Birthday
34,2016-05-30,Memorial Day
35,2016-07-04,Independence Day
36,2016-09-05,Labor Day
37,2016-10-10,Columbus Day
38,2016-11-11,Veterans Day
39,2016-11-24,Thanksgiving
40,2016-12-25,Christmas Day
41,2016-12-26,Christmas Day (Observed)
